species_id,gear,encount_prob,E_scaled,sumA,A_scaled,sel0123,pcm,geomean
Fis-6035,LLT,0.0425,1.0849042983824844,279.0986215,1.4756198131020208,1,2,1.3376699649352266
Fis-23138,GND,0.85,2.699900629347466,66.11209284,1.1126618347159858,1,3,1.732638883898748
Fis-23138,PST,0.06071428571428571,1.125989168124535,14.92495798,1.025432003303422,1,2,1.2327294429543514
Fis-23138,LLT,0.0425,1.0849042983824844,17.96735384,1.0306166591487615,1,2,1.2228681841785907
Fis-26932,GND,0.6568181818181817,2.313409015628294,594.8150958,2.0136435743983174,1,3,1.9334772651047722
Fis-26932,PST,0.07857142857142857,1.1631530290491203,147.1427555,1.2507490916490478,1,2,1.306048371368594
Fis-26932,LLT,0.055,1.1099055477508593,308.4972448,1.5257190609156437,1,2,1.356586989018083
Fis-29500,GND,0.43787878787878787,1.8753851867465643,622.3442945,2.0605570687380936,3,3,2.4284513608733107
Fis-29500,PST,0.11785714285714284,1.2449135230832085,150.7607541,1.2569146527571675,2,3,1.7504473638892464
Fis-29500,LLT,0.0825,1.164908296361284,296.4060124,1.5051139583501878,3,3,1.9930853998525329
Fis-54720,GND,0.45714285714285713,1.913926087162258,10.06690993,1.0171532294756886,1,2,1.4047058303294857
Fis-159582,GND,0.35555555555555557,1.710684185344669,513.1001153,1.8743901469034712,1,2,1.5913472472083139
Fis-26906,GND,0.35555555555555557,1.710684185344669,432.7810662,1.737515576147111,1,3,1.7280446128389744
Fis-26906,PST,0.12857142857142856,1.2672118396379597,112.8497393,1.192309133445958,1,2,1.318460192995338
Fis-26906,LLT,0.09,1.179909045982309,222.2685052,1.3787735747344338,1,2,1.3430521283125259
Fis-23055,GND,0.35555555555555557,1.710684185344669,22.96017858,1.0391251107652442,1,3,1.5196365611374354
Fis-23055,PST,0.12857142857142856,1.2672118396379597,8.391202782,1.014297596855956,1,2,1.2662257862245054
Fis-23055,LLT,0.09,1.179909045982309,29.8753931,1.0509095757174465,1,2,1.254905344512144
Fis-23068,GND,0.35555555555555557,1.710684185344669,447.3743847,1.7623845733274868,3,3,2.2823290503010663
Fis-23068,PST,0.12857142857142856,1.2672118396379597,129.9930313,1.221523631876206,2,3,1.7457240153885702
Fis-23068,LLT,0.09,1.179909045982309,272.9236951,1.4650968996721092,3,3,1.9860462018869525
Fis-24448,GND,0.5625,2.1247101689301093,426.3491235,1.7265546720271443,1,3,1.8213789856202205
Fis-24448,PST,0.07142857142857142,1.1482874846792863,119.8965839,1.204317913936012,1,2,1.2896012439397908
Fis-24448,LLT,0.05,1.0999050480035093,236.4094761,1.402871710154412,1,2,1.3254116606657924
Fis-28559,GND,0.3515625,1.7026954289499834,443.6360668,1.7560139717871688,1,3,1.7305993966859723
Fis-28559,PST,0.11428571428571428,1.2374807508982917,111.3322792,1.1897231752933808,1,2,1.309946601059176
Fis-28559,LLT,0.08,1.159908046487609,193.7142805,1.3301132968441027,1,2,1.3253651536316011
Fis-23126,GND,0.3214285714285714,1.6424076089528226,50.6185859,1.0862587941460844,1,2,1.3743934044583228
Fis-23292,GND,0.25,1.49950314673733,3.886037341,1.00662018293195,1,2,1.3181376128829674
Fis-25894,GND,0.25,1.49950314673733,16.61998866,1.0283205658467236,1,2,1.3251848879753503
