gear,x,y,nspp_S_cell,S_sum_cell
GND,30.25,-36.9346,56,1.20639870871982
GND,30.25,-36.4346,56,1.43801623798009
GND,30.25,-35.9346,57,1.01638960138271
GND,30.25,-35.4346,57,0.473514854960024
GND,30.25,-34.9346,57,0.258919268867261
GND,30.25,-34.4346,57,0.107149590359669
GND,30.25,-33.9346,57,0.0423070434942802
GND,30.25,-33.4346,57,0.0215337916140394
GND,30.25,-32.9346,55,0.145252415589684
GND,30.25,-32.4346,55,0.833357503366445
GND,30.25,-31.9346,55,2.12296095010535
GND,30.25,-31.4346,99,4.49279751774596
GND,30.25,-30.9346,102,4.16413192065523
GND,30.75,-44.9346,30,0.0100469092813883
GND,30.75,-44.4346,30,0.0162416576565447
GND,30.75,-43.9346,39,0.0296169602771758
GND,30.75,-43.4346,39,0.0250495832821314
GND,30.75,-42.9346,42,0.0201761102890681
GND,30.75,-42.4346,42,0.0183302809118165
GND,30.75,-41.9346,42,0.0288993281604875
GND,30.75,-41.4346,42,0.0503590535011879
GND,30.75,-40.9346,47,0.054214269031756
GND,30.75,-40.4346,47,0.0416475556804564
GND,30.75,-39.9346,50,0.0435508339738291
GND,30.75,-39.4346,50,0.0690370172550682
GND,30.75,-38.9346,53,0.112787202455305
GND,30.75,-38.4346,53,0.14916170255332
GND,30.75,-37.9346,55,0.41074500208728
GND,30.75,-37.4346,55,0.902541367957866
GND,30.75,-36.9346,56,1.38650870221214
GND,30.75,-36.4346,56,1.62800394608648
GND,30.75,-35.9346,57,1.62808756842463
GND,30.75,-35.4346,57,1.37707443595112
GND,30.75,-34.9346,57,0.794465590693941
GND,30.75,-34.4346,57,0.274317400866991
GND,30.75,-33.9346,57,0.103747557314071
GND,30.75,-33.4346,57,0.0290201882005383
GND,30.75,-32.9346,55,0.0178148493740197
GND,30.75,-32.4346,55,0.0258950289266709
GND,30.75,-31.9346,55,0.05648124542479
GND,30.75,-31.4346,55,0.0695693003306049
GND,30.75,-30.9346,102,0.165796545870549
GND,30.75,-30.4346,103,0.182183275118921
GND,30.75,-29.9346,87,0.182086950170396
GND,31.25,-44.9346,30,0.0236254283582346
GND,31.25,-44.4346,30,0.0354913555908502
GND,31.25,-43.9346,39,0.0345917844524172
GND,31.25,-43.4346,39,0.0225262680646492
GND,31.25,-42.9346,42,0.0202932426703293
GND,31.25,-42.4346,42,0.0206599569569968
GND,31.25,-41.9346,42,0.0250698255875588
GND,31.25,-41.4346,42,0.0351992372078442
GND,31.25,-40.9346,47,0.0374323503311346
GND,31.25,-40.4346,47,0.0315024831695786
GND,31.25,-39.9346,50,0.0445801045214038
GND,31.25,-39.4346,50,0.0502575322939045
GND,31.25,-38.9346,53,0.0723787391997982
GND,31.25,-38.4346,53,0.142672396329865
GND,31.25,-37.9346,55,0.453854852784376
GND,31.25,-37.4346,55,1.01467693943991
GND,31.25,-36.9346,56,1.53192493699283
GND,31.25,-36.4346,56,1.77214058900486
GND,31.25,-35.9346,57,1.55540228003906
GND,31.25,-35.4346,57,1.01595656340552
GND,31.25,-34.9346,57,0.724042688836018
GND,31.25,-34.4346,57,0.37042580717701
GND,31.25,-33.9346,57,0.128297351878769
GND,31.25,-33.4346,57,0.0354132802572307
GND,31.25,-32.9346,55,0.029434724631168
GND,31.25,-32.4346,55,0.0495428530929522
GND,31.25,-31.9346,55,0.0544336773597818
GND,31.25,-31.4346,55,0.046233375234651
GND,31.25,-30.9346,55,0.0748692659536353
GND,31.25,-30.4346,89,0.187338542591431
GND,31.25,-29.9346,105,0.317286478257429
GND,31.25,-29.4346,97,0.295494608472351
GND,31.75,-44.9346,30,0.0291790130206484
GND,31.75,-44.4346,30,0.0553916607494062
GND,31.75,-43.9346,39,0.0587146932799949
GND,31.75,-43.4346,39,0.0358856382854074
GND,31.75,-42.9346,42,0.0200428377965732
GND,31.75,-42.4346,42,0.0152431367927013
GND,31.75,-41.9346,42,0.0178775047120154
GND,31.75,-41.4346,42,0.0188945046417925
GND,31.75,-40.9346,47,0.0255869795653083
GND,31.75,-40.4346,47,0.0333393193143996
GND,31.75,-39.9346,50,0.0509703333570033
GND,31.75,-39.4346,50,0.051686094412923
GND,31.75,-38.9346,53,0.0543741988219763
GND,31.75,-38.4346,53,0.0988131682321563
GND,31.75,-37.9346,55,0.320752485015535
GND,31.75,-37.4346,55,0.749706035061684
GND,31.75,-36.9346,55,1.26532919316204
GND,31.75,-36.4346,55,1.45954912952097
GND,31.75,-35.9346,57,1.21818776722531
GND,31.75,-35.4346,57,0.755580224614198
GND,31.75,-34.9346,57,0.516689040081041
GND,31.75,-34.4346,57,0.489015021832629
GND,31.75,-33.9346,57,0.343116022157783
