species_id,sumA,ncells_overlap,GEAR,A_scaled,ncells_spp,prop_exposure,avail123
Fis_27678,0.06780235930636991,14,GND,1.0001133918287792,14,1,3
Fis_28552,607.7750984562799,1243,GND,2.035729179646386,1652,0.7524213075060533,3
Fis_28553,270.9110145793529,491,GND,1.4616670187142402,566,0.8674911660777385,3
Fis_28555,218.29394015520663,616,GND,1.3720003760189967,826,0.7457627118644068,3
Fis_28559,443.6360667975914,793,GND,1.756013971890008,979,0.8100102145045965,3
Fis_28560,473.410284972706,714,GND,1.8067532844013297,899,0.7942157953281423,3
Fis_28561,501.3328250701488,865,GND,1.8543370859232184,1172,0.7380546075085325,3
Fis_28562,599.0312970736941,1180,GND,2.020828554270478,1550,0.7612903225806451,3
Fis_28563,411.8847406538662,1269,GND,1.7019053988158075,1673,0.7585176329946205,3
Fis_28785,630.7883426272347,980,GND,2.0749468739959687,1373,0.7137654770575382,3
Fis_28787,667.4394437763149,1192,GND,2.137405329299475,1610,0.7403726708074534,3
Fis_28947,642.832120801198,1453,GND,2.095471108116632,1842,0.7888165038002172,3
Fis_29298,2.1475051874294877,46,GND,1.0036574879694804,67,0.6865671641791045,3
Fis_29319,4.76861678971909,171,GND,1.0081242182101684,174,0.9827586206896551,3
Fis_29320,156.45298442670702,670,GND,1.2666149865436918,940,0.7127659574468085,3
Fis_29321,222.89607052862084,1210,GND,1.379843031361318,1502,0.8055925432756325,3
Fis_29328,99.42215443770522,7723,GND,1.1694267047700806,8614,0.8965637334571628,3
Fis_29332,225.22635857289424,447,GND,1.383814158751612,461,0.9696312364425163,3
Fis_29338,2.977111127693206,45,GND,1.0050712491912437,45,1,3
Fis_29367,4.958310197449464,302,GND,1.0084474815462383,324,0.9320987654320988,3
Fis_29380,102.00270226316844,746,GND,1.1738243088245852,1037,0.7193828351012537,3
Fis_29385,6.5177097427391,130,GND,1.011104910211304,201,0.6467661691542289,2
Fis_29388,426.6346119956952,1766,GND,1.727041183309399,2233,0.7908643081056874,3
Fis_29406,394.6486857136879,885,GND,1.6725328197298197,1147,0.7715780296425457,3
Fis_29409,0.8643249308211125,81,GND,1.0014707744959146,140,0.5785714285714286,2
Fis_29411,9.971591418143362,39,GND,1.0169907937859712,39,1,3
Fis_29416,330.80066762155457,1412,GND,1.5637271233332994,1816,0.7775330396475771,3
Fis_29421,1.708226814866066,7,GND,1.0029088979479432,7,1,3
Fis_29423,831.6162502174811,13942,GND,2.4171849104167897,15496,0.8997160557563242,3
Fis_29436,564.5224411830095,1347,GND,1.962020775905064,1761,0.7649063032367973,3
Fis_29459,22.271892942022532,73,GND,1.037952178542842,104,0.7019230769230769,3
Fis_29481,12.59768398606866,106,GND,1.021466012268752,117,0.905982905982906,3
Fis_29485,9.369397043366916,219,GND,1.0159645727649982,233,0.9399141630901288,3
Fis_29500,622.3442945459501,1027,GND,2.0605570689660917,1394,0.736728837876614,3
Fis_29505,452.60356673397655,873,GND,1.7712958099903884,1220,0.7155737704918033,3
Fis_29521,2.901593463146128,60,GND,1.0049425568320005,60,1,3
Fis_29531,622.8429358281869,15010,GND,2.0614068214499905,16371,0.9168651884429785,3
Fis_29532,20.470074935849993,803,GND,1.0348816358885893,873,0.9198167239404352,3
Fis_29536,160.3458715252309,1709,GND,1.2732489949969643,2114,0.8084200567644276,3
Fis_29539,41.12671949349806,302,GND,1.0700833643598948,442,0.6832579185520362,3
Fis_29540,12.545686684374232,356,GND,1.0213774018029824,394,0.9035532994923858,3
Fis_29547,1.6111551555804908,79,GND,1.002743474653618,80,0.9875,3
Fis_30530,141.49722429166218,1617,GND,1.2411283395770671,1948,0.830082135523614,3
Fis_30583,1164.2340478840397,14129,GND,2.984010822800838,15748,0.8971932943865888,3
Fis_30780,414.2890123539546,535,GND,1.7060026044060748,652,0.8205521472392638,3
Fis_30995,506.6902706930268,1334,GND,1.8634669010580056,1571,0.8491406747294716,3
Fis_31187,12.881226021563634,64,GND,1.0219492064155962,64,1,3
Fis_31223,195.69252209873412,725,GND,1.3334844893138715,1087,0.6669733210671573,2
Fis_31247,12.408999192171905,113,GND,1.0211444677476715,114,0.9912280701754386,3
Fis_31408,30.276910785268228,387,GND,1.0515938164061205,596,0.6493288590604027,2
